Seq.   (i);Núm.;Candidato;Partido/Coligação;Votação;% Válidos
0251;25077;EUNICE GUSMÃO;DEM - DEM / PMDB / SD;63;0,03 %
0252;23555;PAULINHO GOMES;PPS - PDT / PSB / PPS;62;0,03 %
0253;45122;IVONE MELLO;PSDB - PSDB / PR;61;0,03 %
0254;45141;PEPEU;PSDB - PSDB / PR;61;0,03 %
0255;36007;LUZINEIA;PTC - PTB / PTC / PEN;59;0,03 %
0256;70222;MARCIELE RIBEIRO;PT do B - PP / PT do B / PC do B / PROS;55;0,03 %
0257;10777;RONIVALDO SAMURAI;PRB - PRB / PSDC / REDE;52;0,02 %
0258;19001;DOUTORA VANDERLI;PTN;51;0,02 %
0259;44017;FATIMA;PRP;50;0,02 %
0260;77444;DRª TANIA PIRES;SD - DEM / PMDB / SD;49;0,02 %
0261;10180;ANA DE JESUS;PRB - PRB / PSDC / REDE;48;0,02 %
0262;19333;SIMONE DAMIANI;PTN;44;0,02 %
0263;51088;TATIANE;PEN - PTB / PTC / PEN;43;0,02 %
0264;51789;LUZIANA DA PADARIA;PEN - PTB / PTC / PEN;41;0,02 %
0265;31246;MARIA LUCIA MARIANO;PHS - PHS / PMN;40;0,02 %
0266;44177;LUIZ ANDRE;PRP;31;0,01 %
0267;36008;PATRICIA;PTC - PTB / PTC / PEN;22;0,01 %
0268;10321;JACIARA DA BARRA;PRB - PRB / PSDC / REDE;20;0,01 %
0269;36024;SHEILA MOURA;PTC - PTB / PTC / PEN;15;0,01 %
0270;44888;LUZIMERY;PRP;12;0,01 %
0271;31002;PÁSCOA;PHS - PHS / PMN;7;0,01 %
0272;10010;CACILDA ALVES;PRB - PRB / PSDC / REDE;6;0,01 %
0273;31666;NATÁLIA;PHS - PHS / PMN;6;0,01 %
0274;25888;KELY;DEM - DEM / PMDB / SD;6;0,01 %
0275;44077;MARLENE REISEN;PRP;5;0,01 %
0276;13133;SERGINHO DO SALÃO;PT - PT / PPL;1.457;0,67 %
0277;13580;IZANILDO SABINO;PT - PT / PPL;1.011;0,46 %
0278;50051;MONICA ALVES;PSOL;854;0,39 %
0279;54444;ARLENE;PPL - PT / PPL;464;0,21 %
0280;13456;PEDRO VEREZA;PT - PT / PPL;457;0,21 %
0281;54321;MENDONÇA;PPL - PT / PPL;400;0,18 %
0282;13132;CELIA MILAN;PT - PT / PPL;399;0,18 %
0283;13444;ELIO RODRIGUES;PT - PT / PPL;392;0,18 %
0284;50505;ALEXANDRE FLOQUINHO;PSOL;362;0,17 %
0285;13111;TIÃO BORGES;PT - PT / PPL;360;0,17 %
0286;13333;INÊS SIMON;PT - PT / PPL;358;0,16 %
0287;54000;VICTOR GUASTI;PPL - PT / PPL;343;0,16 %
0288;13113;FAUSTO SOARES;PT - PT / PPL;297;0,14 %
0289;50123;MARCIONÍLIO MENDES;PSOL;187;0,09 %
0290;13090;EDMUNDO;PT - PT / PPL;162;0,07 %
0291;13131;LUCIANO AVELLAR;PT - PT / PPL;161;0,07 %
0292;54111;MAURINHO;PPL - PT / PPL;117;0,05 %
0293;13789;TEREZINHA APRIGIO;PT - PT / PPL;109;0,05 %
0294;54400;ADEMIR;PPL - PT / PPL;101;0,05 %
0295;54300;RENATA CELUPPI;PPL - PT / PPL;89;0,04 %
0296;54333;LUIZ CARLOS;PPL - PT / PPL;77;0,04 %
0297;54100;PEDRÃO;PPL - PT / PPL;70;0,03 %
0298;54080;DIDI MILITANTE;PPL - PT / PPL;52;0,02 %
0299;54417;HELENA;PPL - PT / PPL;52;0,02 %
0300;13413;ROSALIA BRAGA DOS SANTOS;PT - PT / PPL;47;0,02 %
0301;54222;GIBA;PPL - PT / PPL;39;0,02 %
0302;13234;TEREZINHA LAGE;PT - PT / PPL;37;0,02 %
0303;54555;BENÉ ROSA;PPL - PT / PPL;37;0,02 %
#0304;28100;MARQUINHO DA FEDERAL;PRTB;0;0,00 %
#0305;28000;BEBETO LOCUTOR;PRTB;0;0,00 %
#0306;28001;JOAREZ DO TAXI;PRTB;0;0,00 %
#0307;28010;SANDRA JARDIM;PRTB;0;0,00 %
#0308;65888;PEDRINI;PC do B - PP / PT do B / PC do B / PROS;0;0,00 %
#0309;28123;ROGERIO PC;PRTB;0;0,00 %
#0310;31777;MARCELO MIRANDA;PHS - PHS / PMN;0;0,00 %
#0311;18321;ANGELA DA SILVA;REDE - PRB / PSDC / REDE;0;0,00 %
#0312;44070;NIL;PRP;0;0,00 %
#0313;13555;MARCIEL DA AUTO ESCOLA;PT - PT / PPL;0;0,00 %
#0314;10001;KELLY MACEDO;PRB - PRB / PSDC / REDE;0;0,00 %
#0315;12555;JUNINHO CARIAS;PDT - PDT / PSB / PPS;0;0,00 %
#0316;28310;RAPHAEL MILFONT;PRTB;0;0,00 %
#0317;28444;TARZAN OLIVEIRA;PRTB;0;0,00 %
